08 03 31   6:30    4.1    4.1    3.9    46   -6.5   3.2     E   1.61   6.4     E    3.9    3.4    3.2  1017.5  0.00   0.0   0.297   0.000   25.2    21    1.3   24.3   702    1    100.0   30 
08 03 31   9:00    7.0    7.0    6.3    39   -6.0   1.6     E   0.80   9.7    SE    7.0    6.2    6.2  1017.8  0.00   0.0   0.236   0.000   25.4    22    2.2   24.4   702    1    100.0   30 
08 03 31  11:30    8.3    9.3    8.3    52   -1.0   4.8   ESE   2.41  17.7   ESE    7.9    7.7    7.3  1017.6  0.00   0.0   0.209   0.000   25.4    23    2.8   24.4   702    1    100.0   30 
08 03 31  16:00    9.6   10.1    9.6    50   -0.3   4.8    NE   2.41  16.1   NNE    9.4    8.9    8.7  1016.8  0.00   0.0   0.182   0.000   25.1    25    3.6   24.3   702    1    100.0   30 
08 03 31  20:00    4.8    5.4    4.8    60   -2.3  11.3     E   5.63  20.9   ESE    2.2    4.4    1.7  1017.5  0.00   0.0   0.281   0.000   25.7    26    4.8   24.7   703    1    100.0   30 
08 04 01   2:00    2.4    2.4    1.9    64   -3.7   4.8     E   2.41  11.3   ESE    1.2    2.0    0.8  1017.7  0.00   0.0   0.332   0.000   26.2    26    5.1   24.9   703    1    100.0   30 
08 04 01  12:00    5.0    5.0    3.8    62   -1.7   4.8   ENE   2.41  17.7     E    4.2    4.6    3.7  1018.8  0.00   0.0   0.278   0.000   22.4    21   -1.0   20.4   702    1    100.0   30 
08 04 01  12:30    4.5    5.2    4.5    64   -1.7   6.4    NE   3.22  19.3     E    3.0    4.1    2.6  1018.9  0.00   0.0   0.288   0.000   22.5    22   -0.3   20.6   703    1    100.0   30 
08 04 02   1:30    2.8    2.9    2.8    76   -1.0   4.8   WSW   2.41   9.7   WSW    1.7    2.6    1.5  1016.0  0.00   0.0   0.323   0.000   26.3    33    8.8   25.5   702    1    100.0   30 
08 04 02   3:30    2.8    2.8    2.7    75   -1.2   4.8     W   2.41   9.7   WNW    1.7    2.6    1.4  1014.6  0.00   0.0   0.324   0.000   26.3    30    7.4   25.3   702    1    100.0   30 
08 04 02   5:00    3.1    3.1    2.8    68   -2.2   4.8     W   2.41  11.3    SW    2.1    2.8    1.7  1013.7  0.00   0.0   0.317   0.000   26.7    29    7.2   25.5   702    1    100.0   30 
08 04 02   7:00    3.1    3.1    2.7    66   -2.7   4.8   WSW   2.41   9.7   WSW    1.9    2.7    1.6  1012.9  0.00   0.0   0.318   0.000   26.7    26    5.6   25.3   702    1    100.0   30 
08 04 02  14:00    5.3    6.4    5.3    78    1.8   3.2   WNW   1.61  17.7    NW    5.3    5.1    5.1  1011.4  0.00   0.0   0.272   0.000   25.8    26    4.9   24.7   702    1    100.0   30 
08 04 02  14:30    3.8    5.2    3.8    89    2.1   6.4   WNW   3.22  17.7   NNW    2.2    3.7    2.1  1011.5  0.00   0.0   0.303   0.000   26.1    26    5.0   24.8   703    1    100.0   30 
08 04 02  15:30    2.5    2.8    2.4    95    1.8   6.4   WNW   3.22  17.7   WNW    0.7    2.5    0.7  1011.8  0.00   0.0   0.330   0.000   26.2    26    5.1   24.9   702    1    100.0   30 
08 04 02  16:30    1.6    2.1    1.6    96    1.0   9.7   WNW   4.83  20.9     W   -1.3    1.6   -1.3  1012.0  0.51   1.0   0.348   0.000   26.1    26    5.0   24.8   702    1    100.0   30 
08 04 03   5:00    0.2    0.2    0.1    98   -0.1   1.6   WNW   0.80   4.8     W    0.2    0.2    0.2  1013.2  0.00   0.0   0.377   0.000   26.3    27    5.8   25.1   703    1    100.0   30 
08 04 03   7:00    0.6    0.6    0.6    98    0.3   1.6   WNW   0.80   4.8   WNW    0.6    0.6    0.6  1013.6  0.00   0.0   0.369   0.000   26.3    26    5.2   25.0   702    1    100.0   30 
08 04 03   8:00    0.7    0.7    0.6    98    0.4   1.6   NNW   0.80   8.0   NNW    0.7    0.7    0.7  1014.0  0.00   0.0   0.367   0.000   26.2    26    5.1   24.9   702    1    100.0   30 
08 04 03  10:00    1.3    1.3    1.2    98    1.0   1.6    NW   0.80   6.4   WNW    1.3    1.3    1.3  1015.2  0.00   0.0   0.355   0.000   25.4    25    4.0   24.5   703    1    100.0   30 
08 04 03  10:30    1.2    1.3    1.2    98    0.9   1.6    NW   0.80   8.0   WNW    1.2    1.2    1.2  1015.4  0.00   0.0   0.356   0.000   25.6    26    4.6   24.6   702    1    100.0   30 
08 04 03  15:30    2.1    3.2    2.1    97    1.7   3.2   ENE   1.61  12.9    NE    1.7    2.1    1.7  1017.1  0.00   0.0   0.338   0.000   23.9    27    3.7   22.8   703    1    100.0   30 
08 04 03  17:00    2.8    3.1    2.8    93    1.8   3.2     N   1.61  11.3   NNE    2.6    2.8    2.6  1017.3  0.00   0.0   0.323   0.000   24.1    27    3.9   23.1   703    1    100.0   30 
